name,phone,email,id_num,street,city,zip,region,gpa,major
Martha Hayes,1-652-618-2053,ullamcorper.nisl.arcu@dapibus.co.uk,AZ92706976493275158555821774,Ap #264-8253 Aenean Av.,Porto Alegre,5444,RS,2,Operations Management and Logistics
Eliana Snow,1-157-354-0465,neque.non.quam@Nullamfeugiatplacerat.com,BE90298489728155,Ap #187-5266 Nisi. Ave,South Dum Dum,93-348,WB,3,Project Management
Keane Baker,1-885-194-7293,tortor.at.risus@Aeneanegetmagna.ca,SM4299168429241391936731802,6987 Mi. Av.,Bydgoszcz,38865,Kujawsko-pomorskie,3,Secondary Education - Physics
Shellie Bowen,1-464-541-2567,a@consequat.com,TN5608534457596903564798,"Ap #581-4074 Non, Rd.",Lauro de Freitas,X5C 6P0,BA,4,Global Studies (Asian Studies)
Jordan Newman,1-331-945-9420,eleifend.nunc@acfeugiat.edu,SE6369259113792942651783,4053 Nullam Rd.,San Rafael,71961-770,San José,2,Sustainable Business and Leadership
Uma Hopper,1-904-624-1210,dolor.dapibus@eu.org,MD4371216721062113510709,Ap #203-3965 Phasellus St.,Villa Cortese,57011,Lombardia,5,Social Work
Gregory Nguyen,1-393-207-5476,eleifend@magnaLorem.net,PL91618487727563254642179051,664-409 Et Av.,Mezzana,9036,Trentino-Alto Adige,3,Health Information Systems Management
Claire Gibbs,1-369-896-4154,Nullam.velit.dui@ultrices.ca,MT88DPOL17483214351816280977903,Ap #659-8816 Urna. Avenue,Cork,N7T 3C6,M,3,Social Work
Colleen Brewer,1-528-781-0814,semper.dui@Lorem.org,IT680JUGDI40407833094657747,988-831 Mauris Av.,Vallepietra,5126,LAZ,5,Higher Education and Organizational Change
Yen Andrews,1-596-361-6103,Vivamus@fringillaporttitorvulputate.ca,TR866143364831492241384474,"Ap #535-4809 Non, Av.",Belfast,77735,Ulster,5,Music
Andrew Boone,1-319-205-4514,est.ac@non.org,MR9567594430508267297731569,"P.O. Box 389, 7519 Molestie Road",Nijmegen,50013,Gelderland,2,Information Systems Management
Jack Cook,1-654-420-6760,odio.Etiam.ligula@nullavulputate.edu,CZ0526502431053477808541,2420 Dis Rd.,Montgomery,2716ZO,MG,3,Clinical Psychology
Illiana Hamilton,1-382-620-2469,Sed.neque.Sed@anteiaculisnec.co.uk,AE237345117988742013754,"P.O. Box 445, 1225 Nascetur Avenue",Goulburn,437852,NSW,3,Science Content and Process
Cheyenne Rivera,1-154-827-4066,varius.orci.in@Phasellusornare.org,MC9129332912064775368675978,781-2493 Viverra. Ave,Orvault,934648,PA,4,Sports Management
Amity Glenn,1-112-594-2663,est.ac@noncursus.ca,PS068202709073436306887774744,418-2186 Eget Rd.,Huntly,9301,North Island,2,Taxation
Marvin Reese,1-184-473-4147,metus@egestasAliquam.ca,TN6186209835162321834900,697-8294 In Avenue,Bajardo,M6 3JJ,Liguria,2,Undecided
Vaughan Lester,1-256-785-6599,facilisis.vitae.orci@etliberoProin.ca,AT529163206153891886,6942 Maecenas St.,Issy-les-Moulineaux,935617,Île-de-France,2,Accountancy
Andrew Herman,1-775-474-9467,id.libero@interdumSedauctor.ca,MK41346272255114560,6999 Nulla St.,Carapicuíba,60013,SP,4,Political Science
Basia Coffey,1-729-961-0816,nibh.Quisque@habitant.ca,TR634242704570152636271519,Ap #937-2042 Nunc Av.,Sapele,780751,Delta,5,Medical Humanities
Tobias Zimmerman,1-941-485-0450,nec@sed.com,IL673620584434422996481,Ap #370-5366 Gravida Av.,Uberlândia,1006,MG,2,International Management
Calvin Diaz,1-127-407-2036,eu@aliquet.com,TR911377507013874228496997,"P.O. Box 220, 6875 Nulla Avenue",Dillenburg,61086,Hesse,3,Secondary Education - Mathematics
Sierra Sherman,1-951-646-1312,dictum.Proin.eget@scelerisqueneque.edu,CY70078114872968005524718819,"P.O. Box 323, 6061 Mollis St.",Concepción,40905,San José,3,Business Analyst
Hedda Nelson,1-464-300-6149,nunc.sed.pede@orcilacus.com,DK3543683731187676,"P.O. Box 450, 1269 Cras Rd.",Orvault,91004,Pays de la Loire,3,Diagnostic Medical Sonography
Liberty Yang,1-177-136-5979,eleifend.vitae.erat@tellusSuspendissesed.org,GE67989589271954266874,1795 Scelerisque St.,Flin Flon,69459,MB,2,Business and Economics
Petra Norman,1-429-847-8672,sit@tristiqueaceleifend.ca,HR5288073556765415435,309 Dis St.,Bia?a Podlaska,2803,Lubelskie,5,Management
Kitra Richmond,1-970-625-8896,vel@insodales.com,GL8574357632193496,3101 Donec St.,Piracicaba,S5Z 0Y3,SP,5,Integrated Marketing Communications
Kamal Merrill,1-828-644-7966,posuere.at@Curabitur.org,NL32NDXR7692871993,"P.O. Box 865, 2729 Ut Ave",Istanbul,40772-460,Ist,5,Management and Organizational Behavior (accelerated)
Colton Farrell,1-949-238-3308,accumsan.laoreet@placeratvelitQuisque.ca,DK8842709330298468,649-7159 Fermentum Rd.,Koszalin,40911,ZP,4,Operations Management and Logistics
Cora Richardson,1-477-575-0527,ut.aliquam@tempus.co.uk,BG46SNWL77103462723802,"Ap #308-8480 Sed, Road",Sint-Kwintens-Lennik,30498,Vlaams-Brabant,4,Spanish
Germaine Reid,1-874-394-6965,Praesent@magnaPhasellus.net,AT481044288011110898,6541 Pede Ave,Perwez,29859,Waals-Brabant,5,Political Science
Kelsie Crosby,1-186-210-1292,Quisque.ornare.tortor@vestibulum.edu,SI76483174778755221,"P.O. Box 765, 8077 Nec Rd.",Tarragona,60391,CA,5,Economics
Arthur Jenkins,1-229-571-9726,Integer.sem@sodales.org,CH3986677483960143372,Ap #644-4664 Odio. St.,Colorado Springs,52474,CO,4,Business Administration
Raya Joseph,1-753-673-0499,vel.arcu.eu@Phasellusdapibusquam.co.uk,IS726773632773662846268166,280-982 Fringilla. Av.,?mamo?lu,4374,Adana,2,Biology
Rhoda Stein,1-945-666-3664,metus@nonmassanon.co.uk,EE303389838861546900,"P.O. Box 842, 1501 Lorem. Street",Bafra,85432,Samsun,4,International Business and Economics
Ferdinand Cunningham,1-551-449-2005,aliquet.Proin@in.com,IL537777440673482240448,"Ap #205-5530 Montes, Rd.",Veere,70471,Zeeland,4,Operations Management and Logistics
Nora Mullins,1-776-546-8532,mattis@turpisegestas.org,SE8629553176337103044911,154-7041 Ac Street,Sudbury,70861,Suffolk,4,Global Studies (Middle Eastern Studies)
Alexandra Calderon,1-544-526-0085,scelerisque.dui@Duis.org,MR1871669122346716669858332,222-9309 Nisl. Av.,Beypazar?,0802GT,Ankara,3,History
Caryn Harper,1-450-874-9785,Maecenas.mi@Suspendisse.net,LT868007907915993676,328-2835 Et Rd.,New Haven,N8A 8R3,CT,2,Health Education and Promotion
Carissa Blake,1-980-854-9809,sit.amet@Nullamlobortis.co.uk,BA223222622014385325,Ap #216-2035 Euismod Rd.,Richmond,E2E 6X9,VA,4,Political Science
Elizabeth Bender,1-877-467-6363,ligula.eu.enim@necorci.com,MT25RUGH32100784359484045149271,1980 Egestas. Ave,Grave,59223,Noord Brabant,3,Public Health
